nom_adjudicatari,nif,nombre_contractes,total_import_iva_inclos
ACRO DISTRIBUCIONES DEPORTIVAS,B67422931,1,18029.73
ACSA OBRAS E INFRAESTRUCTURAS,A08112716,7,294053.5
"ACTION REALITY MANAGEMENT, S.L",B67021600,4,90024.95999999999
"ACTIU BERBEGAL Y FORMAS, SA",A03137874,3,29355.71
"ACTIUM PATRIMONI CULTURAL, S.L",B63225098,1,14815.24
ACTIVA AUDITORIA & CONSULTORIA,B64702665,1,1331.0
"ACTIVA CONGRESOS,S.L.",B62918610,1,726.0
"ACTIVA HOSPITALET, SL",B63846448,1,105.0
ACTIVA LA CULTURA & LA RESIDUA,B66899733,2,2090.0
"ACTIVITATS CANINES, SL",B64379720,1,18149.99
"ACTURA 12, S.L.",B65758427,13,20371.639999999996
"ACUSTICA INTEGRAL, SL",B60991650,1,2182.84
AD + MEDICAL SCCL,F61853800,1,18106.44
ADAPTATIVE LEARNING SLU,B66458076,1,17968.5
ADARO TECNOLOGIA SA,A33611195,6,14034.969999999998
"ADASA SISTEMAS, S.A.",A58596206,1,17868.49
"ADCOGASE, SL",B66464918,2,14144.71
ADO CERRAMIENTOS METALICOS SA,A58044652,2,5676.84
ADP GLOBAL MARKETING CONSULTIN,B66656141,1,2420.0
"ADR-ODR GIRA, SLP",B66318411,1,1185.8
ADTEL SISTEMAS DE TELECOMUNICA,B63181440,9,34539.75000000001
ADV INFORMATICA S.L.,B41975608,2,26187.97
ADVANCED PROGRAMMING SOLUTIONS,B57608960,1,14625.27
AE-BGC2005,B63728836,1,2341.35
AECOM INOCSA SL,B82280785,1,17859.6
AENOR INTERNACIONAL S.A.,A83076687,2,18949.92
AERCO SA SUCURSAL EN ESPAÑA AL,U05478516,1,1219306.33
AERONAVAL CONSTRUCCIONES E INS,A28526275,1,82322.87
AF STEELCASE SA,A78939576,1,2496.96
AFI CONSULTORES ADMINIS.PUBLIC,A81062820,2,14520.0
AGENCIA DE GESTI D'AJUTS UNIVE,Q0801117C,1,38205.75
"AGENCIA EFE, S.A.",A28028744,1,76709.31
AGENCIA POLFORD DE LOCUTORES S,B65687873,1,2178.0
"AGILE INSTITUTE, S.L",B67518217,1,17726.5
AGORA GESTION DE EVENTOS SL,B64674187,1,16335.0
AGR SISTEMAS SL,B58081936,2,3694.74
AGRICOLA MARCILLA SL,B58122151,6,3030.4799999999996
AGRUP.SARDANIST.LA IDEAL D'EN,G58038167,2,15999.0
AGRUPACIO ATLETICA CATALUNYA,G58370636,1,1027.0
AGRUPACIO FOTOGRAFICA DE CATAL,G58329152,1,497.56
AGUAPURA AGUAVIVA SL,B81804643,2,529.98
AGUIRRE NEWMAN VALOR Y TASAC S,A86317567,2,4235.0
AGUSTí I MASOLIVER SA,A17000993,1,15452.2
AIGUA ESPORTS I SALUT S.L.,B62849674,1,13851.91
"AIGÜES DE BARCELONA, EMPRESA M",A66098435,2,4167.91
AIR GOLDEN EVENTS SL,B66921891,1,34266.63
AIR LIQUIDE HEALTHCARE ESPAÑA,B84745801,3,1100.69
"AIRBOX, S.A.",A08950685,1,661.77
AIRENGINY URC SL,B63766745,1,6388.8
AIRUN SERVEIS CULTURALS SL,B61519344,25,513346.2699999999
AJN PROJECTS ACCOUNTS SL,B25462375,1,2395.8
AKTES SERVEIS INTEGRALS SL,B65829335,1,1468.82
ALAVA INGENIEROS S.A.,A28570190,3,166051.02000000002
"ALAVA INGENIEROS TELECOM, SL",B80070113,1,10942.94
ALBET COMERCIAL SLU,B67402636,11,20127.420000000002
ALBUR PRODUCCIONES EDITORIALES,B62811534,1,2515.59
ALD AUTOMOTIVE SA,A80292667,1,673468.96
ALDEBARAN 2.0 IT PROJECTS$SERV,B65322869,2,23167.329999999998
"ALERTA GLOBAL SEGURIDAD, SL",B64624711,5,66991.65
ALGECO CONSTRUCCIONES MODULARE,B28871192,2,2620018.3600000003
ALGORITMOS PROCESOS Y DISEÑOS,A28634046,1,6887.32
ALIANCE BROTHER SL,B58296955,3,177750.68
ALIANZAS Y SUBCONTRATAS S.A.,A61351276,3,66385.53000000001
ALIBRI LIBRERIA SL,B61688578,16,1012.99
ALMAS INDUSTRIES BSAFE,B86479078,2,6495.28
ALPHABET ESPAÑA FLEET MANAGEME,A91001438,5,470698.10000000003
ALPINISTA SAMURAI SL,B65698912,1,28749.6
ALSEAL SERVEIS INFORMÀTICS S.L,B62945480,1,5929.0
"ALTABOX, SL",B33898867,2,1988.03
ALTERNATIVAS ECONOMICAS SCCL,F65890832,2,505.0
ALTIPLA GEOMATICA I TOPOGRAFIA,B67506188,3,8681.75
"ALTUS YUMA, SL",B99536641,1,36300.0
"ALUMBRADOS VIARIOS, SA",A08523094,4,1124609.81
"ALZAMORA, C.F.",G58804311,1,1507.67
AMBIT GRUP SERVEIS TECNICS SL,B67566687,1,14598.2
"AMBITEC SERVICIOS AMBIENTALES,",A65208084,4,188971.72999999998
"AMBULANCIES CATALUNYA, SCCL",F08726978,8,8050.0
AMBUMEDIC SERVICE,B65348906,1,711.0
AMICS DE GRACIA TELEVISIO,G59648048,2,3000.8
AMPA CEIP BARRUFET,G58105859,1,4995.0
"AMPERSAND SET, S.L.",B66339771,1,2843.5
AMTEVO MEDIO AMBIENTE SL,B62604806,1,5954.41
ANABAD,G28639326,1,100.88
ANALISTAS FINANCIEROS INTERNAC,A78603206,2,20430.16
ANBA ASISTENCIAL SLU,B67458224,1,4929.6
ANGEL GABARDOS GALINDO SUCESOR,B50666437,1,10890.0
"ANIMALIA BCN, SL",B63549398,3,4532.58
ANIMUA SA,A08520876,2,291.2
ANNUNZIA PUBLICIDAD EXTERIOR S,B55648497,1,17968.5
"ANSA CATERING I BANQUETS, SL",B63922744,1,367.4
ANTALIS IBERIA SA,A78456506,30,103267.03000000003
"ANTEVERTI CONSULTING, S.L.",B65457806,3,53330.75
"ANTIGUA CASA MANUEL ESTALELLA,",B08958209,5,20876.19
ANVIGRAF PRINT S.L.,B66313362,9,7940.370000000001
API MOVILIDAD SA,A78015880,1,20509.51
APLICACIONES INDUSTRIALES DEL,B60738515,1,931.34
APLICACIONS MULTIMEDIA INTERAC,B61077020,1,2351.36
"APPLUS ITEUVE TECHNOLOGY,S.L.",B81041444,1,8000.0
APPLYSAP4 S.L.,B66619388,2,35332.0
APRENEM ASSOCIACIO PER A LA IN,G64177421,1,4000.0
APRISE-CATALUNYA EMPRESA D'INS,B64241946,9,550346.32
AQ:SC,E16985277,1,17738.6
AQMM AFRA QUINTANAS I MARC MON,U42933424,1,69451.58
AQUADIRECT BLUE PLANET SL,B62117783,9,18070.28
AQUIDOS ARQUIT. TÈC. I GESTIÓ,B65000648,1,17762.8
ARA VINC GESTIO DOCUMENTAL SL,B67110767,3,13884.75
"ARC MEDIACION AMBIENTAL, SC",J22283543,1,7567.82
ARCAEDRO 2014 SL,B66232331,3,5445.0
ARCANTIC REHABILITACIO CONSTRU,B64220148,1,21764.02
"ARCHIKUBIK, SLP",B62434105,1,18029.0
ARCILLAS MINERALES Y SUMINISTR,B73754095,1,3833.28
ARCOIRIS LIGHTING SYSTEMS S.A.,A08983165,1,7284.68
ARDANA CONSULTANTS S.L.U. & CO,U16917742,1,41140.0
AREA CIVITAS ARQUITECTURA E IN,B66837741,6,84481.31
ARENY SANUY CONSULTORIA I INFO,B60409612,1,1473.42
ARETIAN URBAN ANALYTICS AND DE,83-1302874,1,181500.0
"ARGELAGA SERVEIS AMBIENTALS, S",B62144878,2,4689.99
ARGELICH IGLESIAS SL,B63029326,1,5808.0
ARGES FITNESS S.L,B64538739,3,17697.24
"ARIBAU 70, SL",B63472872,6,74732.86
ARMENGOL&ROS CONSULTORS I ASSO,B65976763,4,20086.0
ARMERIA RAVELL S.L.,B08073264,12,37627.06999999999
"ARNIA SERVEIS TECNICS,  SL",B55679278,3,45077.409999999996
ARQ PSG10 SL,B66213869,7,13126.91
ARQUEOLOGIA DEL PUNT DE VISTA,G64810492,1,14900.0
ARQUITASA SOCIEDAD DE TASACION,A59307777,6,6645.599999999999
ARQUITECTURA DEL PAISATGE SL,B55218754,1,4719.0
ARQUITECTURA GENIS PLANELLES S,B64782105,6,11797.5
ARQUITECTURA PROJECTES I GESTI,B66416694,1,181.5
ARRIOLA & FIOL ARQUITECTES SCP,J58516873,2,32668.79
"ART I SO 4 GATS, SL",B94180965,1,544.5
ARTCOM,G01961390,1,6000.0
ARTEGESA NEGOCIOS INTEGRADOS S,B62728688,1,974.05
"ARTEPA, S.L.",B08737744,10,1083.29
ARTERO INSPIRING STYLE S.A.,A58778176,1,350.82
ARTES GRAFICAS AUXILIARES DEL,B08923542,5,74953.39
ARTI GESTION Y SERVICIOS ARTIS,B66372467,2,792.55
ARTICAT ARTISTAS Y PROF. ARTES,F55660609,1,363.0
ARTIDI ESCAPARATISMO SL,B63391973,1,6300.0
"ARTISTAMENTE, SOCIEDAD LIMITAD",B67515817,1,484.0
ARTISTIC LITHO SL,B58476920,1,5714.83
ARTIXOC,G62003603,3,11713.0
ARTRUIX CORPORACIÓ S.L.,B66772518,1,18089.5
ARTTEC CONSERVACIO I RESTAURAC,B63075261,6,18147.339999999997
ARTU IDEAS DIGITALES,B67032474,1,968.0
ARTYPLAN SL,B61963229,8,253254.97
ARXIVERS SENSE FRONTERES,G61898755,1,120.0
AS AMERICA-EUROPA DE REGIONES,G63853287,1,17787.0
AS. APAECATALUNYA (PR ANIMAL.,G65188872,1,96800.0
AS.DISCAP.VISUAL CATALUNYA B1+,G60412251,2,3415.0
AS.PROMOT.SERV.ESPEC.ATENC.TER,G08692410,1,726.0
ASBESTHO'S GESTION DESAMIANTAD,B64172794,1,4877.81
"ASCENSORES ERSCE, S.A.",A08277907,1,3100.0
ASESORES CORPORATIVOS IT'S POS,B63758163,1,14999.99
ASESORES CORPORATIVOS SA,A60045937,1,3009.88
"ASFALTOS BARCINO, S.L.",B66533456,1,41382.0
ASFALTOS DEL VALLES S.A,A60930344,1,39533.23
ASFALTOS Y CONSTRUCCIONES ELSA,A81940371,1,37076.92
ASIDEK-ASES.SIST.E INTEGRADORE,B61117099,2,9958.3
"ASM WEB SERVICES, SL",B63380091,1,17218.42
ASO ESPAÑOLA CONTABILIDAD ADMO,G28729218,1,450.0
ASOC ABONO KMO,G01632991,2,1331.0
ASOC CULTURAL HAND MADE THEATR,G66217787,2,1028.5
ASOC CULTURAL LA MERI PRODUCTI,G67180877,1,958.32
ASOC CULTURAL RADIO NIKOSIA,G64778962,1,16940.0
ASOC ESPAI DIALEG PROFESSIONAL,G02700532,1,9655.8
ASOC ESPAÑOLA DE GESTORES DE F,G64763410,1,726.0
ASOC NAC PARA INVESTIGACION DE,G88443957,1,135.0
ASOC PARA LA PROTECCION DEL ME,G40610701,1,500.0
ASOC PROFESIONAL ESPAÑOLA DE P,G73637209,1,760.0
ASOC PROMOCION INICIATIVAS SOC,G58192428,3,19046.55
ASOC. CULTURAL TALLER PUBLILLA,G67103523,1,14990.0
ASOC. ESPORT-3,G08880577,2,2319.02
ASOC. LA PERIFERICA,G65180838,2,19641.93
ASOC. PHARE TERRITORIOS GLOBAL,G02722007,1,17944.54
ASOC. PLATAF. APROFITAMENT ALI,G66219718,1,907.5
ASOC.CAN ENSENYA PROM.SOC.PERS,G08638926,1,159.96
ASOC.ESPORTIVA CIUTAT VELLA DE,G08941494,1,1804.0
ASOC.PROFESIONAL DE TECNICS BO,G48511547,1,55.0
ASOC.VECINOS BARRI SANT CRISTO,G58188996,1,2920.0
ASOC.VECINOS TORRE LLOBETA,G58414137,1,2536.42
ASOCIACIÓ COMERCIANTS SANT GEN,G67054429,2,2295.0
ASOCIACION CIUDADES INTERCULTU,G66949470,1,12826.0
ASOCIACION COMERCIANTES MERCAD,G61045498,1,1391.5
ASOCIACIÓN EXPERIENTIA,G98716848,1,700.0
ASOCIACIÓN NEUROCIENCIA APLICA,G67544452,1,7100.0
ASS CONSEIL INTERNATIONAL DES,44784226128,1,250.0
ASS CULTURAL FORMACIO I CONEIX,G64855927,1,16068.8
ASS. IRIDIA CENTRE PER LA DEF.,G66610882,1,7260.0
ASS. ORQ. CAMBRA REIAL C. ARTÍ,G60688900,1,4500.0
ASS.AEDO SOCIAL FILMS,G65781221,1,3999.99
ASS.CAT.ENGINYERIA SENSE FRONT,G60910528,1,6000.0
ASS.CAT.INTEG.HOMOS.BISEX.TRAN,G63476097,24,66974.9
ASS.CULTURAL L'INDEPENDENT DE,G66245986,1,7441.5
ASS.JOVES GITANOS DE GRACIA,G65777104,1,726.0
ASS.XARXA DOS DEU MILLORA BARR,G66160763,2,16023.0
ASSESS.INFRAESTRUCTURES I MOBI,U67716977,1,498802.7
ASSESSORIA ENERGÈTICA CATALANA,B60705522,8,34690.69
ASSESSORIA INFRAESTRUCTURES I,B63432512,2,29826.5
ASSESSORIA TECNICA DEL SOL S.L,B61847091,1,1694.0
ASSO.CULTURAL FARRE,G66016015,3,2050.0
ASSO.VEINS DE SARRIA,G58398413,1,300.0
ASSO.VEINS FONT GUATLLA-MAGORI,G58300963,1,3230.03
ASSOC COMERCIANTS CARMEL CENTR,G61102778,2,5790.0
ASSOC ESPORTIVA BCN DISCAPACIT,G61691127,1,4940.0
ASSOC LIANT LA TROCA,G65379398,3,750.0
ASSOC ORQUESTRA DE CAMBRA CATA,G59927590,2,4400.0
ASSOC SOCIAL ANDROMINES DE MON,G60304862,1,213.73
ASSOC. ACONDICIONAMIENTO TARRA,G08360232,2,3421.92
ASSOC. CATALANA DE MITJANS LOC,G64172505,2,29928.0
ASSOC. CATALANA PREVENCIO SUIC,G65895153,1,14000.0
ASSOC. COMERC.I VEINS CREU COB,G58792979,2,3850.0
ASSOC. COMERCIANTS SARRIA,G58503756,1,4924.7
ASSOC. COMERCOS ENTORN MERCAT,G59826768,1,5227.2
ASSOC. D'AMICS I COMERCIANTES,G62299920,2,7260.0
ASSOC. D'ARXIVERS DE CATALUNYA,G58641952,1,205.0
ASSOC. ESPORTIVA L'EIXAMPLE DE,G08943813,4,3019781.23
ASSOC. ESPORTIVA SANT ANDREU -,G08941486,6,99910.01000000001
ASSOC. RELACIONAL PRACTIQUES C,G66532904,1,765.33
ASSOC. SANT MARTI ESPORT,G08932675,1,48000.0
ASSOC. TAULA D'ENTITATS DE SAR,G65690620,1,3200.0
ASSOC. VEINS I VEINES ESQUERRA,G08947558,1,287.98
ASSOC.AMICS I AMIGUES DE LA SE,G65452229,1,350.0
ASSOC.AMIGUES DE LA MUSICA,G67570325,1,484.0
ASSOC.CATALANA D'INTEGR.I DESE,G60531100,1,3306.88
ASSOC.CENTRE PROMOT. APRENENT.,G67179770,2,21101.5
ASSOC.COMERç I SERVEIS DE POBL,G59989327,2,11990.3
ASSOC.CULT.TRADICIO MUSICAL TR,G59120444,1,17513.54
ASSOC.DE COMERC.DE SANTS-ESTAB,G58792904,1,3000.0
ASSOC.EDUCATIVA I CULTURAL FOR,G65400608,2,11030.0
ASSOC.PER L'IMPULS ECON.COOP I,G66622002,1,17543.79
ASSOC.SOCIOCULTURAL LA COSA NO,G63341192,1,14970.0
ASSOC.VEINS BARRI S. ANTONIDE,G58145178,1,550.0
ASSOC.XARXA D'ECONOMIA SOLIDÀR,G02905735,1,7756.1
ASSOCIACIÓ  DE COMERCIANTS  I,G60511847,1,5000.0
"ASSOCIACIÓ ""IN VIA""",G64980501,23,243830.0
ASSOCIACIO ACCIONS FEM FEMINIS,G67318915,1,11000.0
ASSOCIACIO AGAPE DE BARCELONA,G66770652,1,1002.4
ASSOCIACIÓ AGOST PRODUCCIONS,G65062077,2,27491.2
ASSOCIACIO AKA,G67487405,1,8784.6
ASSOCIACIÓ AMICS MUSEU CIENCIE,G60437662,1,12947.0
ASSOCIACIÓ ANIMAL LATITUDE,G65439440,1,3630.0
ASSOCIACIÓ AREA ADAPTADA,G65202996,1,1763.0
ASSOCIACIO ARTETERAPIA ARTENEA,G65048977,1,600.0
ASSOCIACIO BANCO FARMACEUTICO,G64771322,1,7025.0
ASSOCIACIÓ BARCELONETA ALERTA,G63428007,1,13802.17
ASSOCIACIO BLUEGRASS I OLD-TIM,G64805914,1,800.0
ASSOCIACIÓ CAPIBOLA BLUES,G64073869,2,8400.0
ASSOCIACIÓ CIAORTIGA,G55371033,1,999.46
ASSOCIACIÓ COBLA RAMBLES,G61244935,1,850.0
ASSOCIACIO COL.LECTIU 7CIENCIE,G55744114,1,50.0
ASSOCIACIO COMERCIANTS LA MARI,G59417105,3,6399.91
ASSOCIACIO CONEIXER HISTORIA,G64790405,1,7072.3
"ASSOCIACIÓ CONEXUS. ATENCIÓ, F",G65525768,1,1500.0
ASSOCIACIO COOPERASEC,G66909466,1,12705.0
"ASSOCIACIO CULTURAL ""VIU EL TE",G64167877,4,96014.17
ASSOCIACIO CULTURAL ELPARLANTE,G65162562,2,15384.17
ASSOCIACIO DE DISSENY INDUSTRI,G60044815,1,17545.0
ASSOCIACIÓ DIGITALFEMS,G67360578,1,18077.4
ASSOCIACIO DINAMIC,G63316475,2,18852.600000000002
ASSOCIACIO ECO-VEÏNAL VALLBONA,G66928508,1,14999.99
ASSOCIACIÓ EDUCACIÓ I LLEURE U,G65902439,1,5363.4
ASSOCIACIO ENGINYERS INDUSTR.,G08398562,8,767.14
ASSOCIACIO ESCLAT,G08569303,3,45198.01
ASSOCIACIO ESPIGOLADORS,G66264953,3,27046.78
ASSOCIACIÓ ESPORTIVA ESCOLAR I,G64353485,2,0.0
ASSOCIACIO ESPORTIVA LES CORTS,G08821852,1,6047.18
ASSOCIACIÓ EUROPA SENSE MURS,G67286732,1,5650.0
ASSOCIACIÓ GRÀCIA PARTICIPA,G67472571,1,6025.8
ASSOCIACIÓ GRÀCIA SOLIDÀRIA (E,G67417295,1,1500.4
ASSOCIACIÓ HABITATS GRUP PER L,G17530346,1,2100.0
ASSOCIACIO INSTITUT CATALA D'O,G58804055,1,10576.91
ASSOCIACIÓ INTERCULTURAL LLATI,G65506677,1,423.5
ASSOCIACIÓ JOVES MÚSICS BARCEL,G66580408,1,800.0
ASSOCIACIO LA BACANAL,G66008566,1,3025.0
ASSOCIACIÓ LA CAMERATA,G55045132,1,968.0
ASSOCIACIO LA TIRETA SALUT MEN,G67304238,1,4000.55
ASSOCIACIO LA VOZ AHOGADA,G67598094,1,968.0
ASSOCIACIÓ LA XIXA TEATRE,G65424038,1,8400.0
ASSOCIACIÓ L'ÀLIGA DE GRÀCIA,G67192583,1,724.57
ASSOCIACIÓ LECTURA FÀCIL,G63105217,1,2698.3
ASSOCIACIO LES CORTS PER LA,G64303464,1,13618.01
ASSOCIACIO LES FUGITIVES,G67169821,1,635.25
ASSOCIACIÓ LLIGAM PER A LA INS,G60688157,12,252576.0
ASSOCIACIO MEDIAMBIENTAL XATRA,G55014179,1,1400.0
ASSOCIACIO MEMORIA TAXONERA,G67553305,3,275.01
ASSOCIACIO MENJADORES ECOLOGIC,G66159492,1,9801.0
ASSOCIACIÓ PELS DRETS SEXUALS,G08914475,10,86310.45999999999
ASSOCIACIO PER A LA CREACIO I,G60498433,3,440.0
ASSOCIACIO PER A LA DIVULGACIO,G66731316,1,321.0
ASSOCIACIÓ PER L'ALLIBERAMENT,G06831960,1,847.0
ASSOCIACIÓ PICC,G67366518,2,14096.5
ASSOCIACIÓ PIDES BARCELONA,G67492066,2,650.0
ASSOCIACIÓ PROHABITATGE,G61964102,35,332050.7
ASSOCIACIO PROJECTART,G58532870,3,5445.0
ASSOCIACIÓ REBOBINART,G65744138,6,52130.07
ASSOCIACIO SOCIAL GABELLA,G64344526,1,2120.0
ASSOCIACIÓ SOCIO-CULTURAL CAN,G67518720,1,1547.98
ASSOCIACIÓ SOLIDANÇA,G61291894,1,7828.28
ASSOCIACIO VEÏNS/ES ELS EUCALI,G66323957,1,3236.88
ASSOCIACIÓN ÁFRICA SIN FRONTER,G65499147,1,1260.0
ASSOCIACION MUNDOANIMADO,G64670714,1,390.0
"ATELIER-LIBROS, S.A.",A08902173,3,311.31
ATHENEA SOLUTIONS & TECH SL,B66459843,2,1205.0
ATICA BELFORT S.L.,B67508663,2,95388.39
ATIM EVENT ENGINEERING SL,B65905416,2,17484.5
ATRA,G58219874,2,15634.15
ATRA CLINIC SL,B62329917,1,2605.69
ATREVIA COMUNICACION SL,B67253732,1,17424.0
"ATRIUM SERVICIOS AUXILIARES, S",B64863285,7,43122.59
"AUBERT, S.A.",A58785593,23,192205.39000000004
AUDALIA NEXIA AUDITORES SL,B78048097,1,7393.1
AUDIOTEC,A47237516,5,320682.61
"AUDIOVISUAL ESPAÑOLA 2000,S.A.",A82031329,1,2943.62
"AUDIOVISUAL RESOURCES, S.L.",B67095158,1,17303.0
"AUGUSTA ABOGADOS, SLP",B64943988,1,16940.0
AULA D'IDIOMES SCCL,F66933342,2,440.08
AUSERVI GROUP SEGURIDAD Y,B64811995,3,4888.400000000001
AUTO DISTRIBUCIÓN SL,B08215378,1,9855.52
AUTO ESCUELA ZONA FRANCA SL,B60751328,1,14256.0
AUTO OCHENTA Y OCHO S.A.,A58061573,3,1595.68
"AUTOCARES JULIA, S.L.",B08095390,1,198.0
"AUTO-GRÚAS SANT JORDI, SL",B62545603,2,51254.4
AUTORITAT TRANSPORT METROPOLIT,P5890049I,1,6810.0
"AUXILIAR DE OBRA CIVIL, S.A.",A58492851,5,230204.15
AUXILIAR FIRMES Y CARRETERAS S,A43017854,2,75755.9
AUXILIAR OBRA CIVIL Y JARDINER,B62299813,1,47067.8
AUXILIAR SERVICIOS Y ASISTENCI,B25426867,3,86022.51
AVAIL SERVICES SL,B66461351,1,17545.0
AVALION INNOVATION & TRANSFORM,B88426036,1,223106.31
AVANTI AVANTI ESTUDI SL,B65213779,1,18029.0
AVANZIA BIENESTAR SOCIAL Y DES,B84464205,1,31556.8
"AVIS ALQUILE UN COCHE, S.A.",A28152767,1,10000.0
AVORIS RETAIL DIVISION SL,B07012107,9,2954060.5599999996
"AXATON, SL",B91586529,4,6402.32
AXESOR CONOCER PARA DECIDIR SA,A18413302,1,6112.92
"AXIOMA CONSULTORS ACUSTICS,SL",B17686320,8,78796.2
AZULEJOS V. PORCAR SL,B60739174,7,10908.74
B.BRAUN VETCARE S.A.,A96722772,6,6396.74
"B01 ESTUDI D'ARQUITECTES, SLP",B65152274,1,17545.0
BAC DE RODA SPORT SL,B61861548,2,4065.96
BAC ENGINEERING CONSULTANCY,B66113457,3,96674.97
"BADALONA GRES, SL",B60331378,1,2000.93
BAFARADA SL,B66774290,2,19428.969999999998
BAKER TILLY AUDITORES S.L.P.,B86300811,1,1331.0
BALMA EDUCATIVA SL,B66994278,1,17545.0
"BANC DE SABADELL, S.A.",A08000143,1,180048.0
BANCO SANTANDER,A39000013,2,240007.8
BANDAS INDUSTRIALES SA,A58452541,1,768.35
BAP.BERTA BARRIO I JOSEP PERAI,J66010976,2,30097.54
"BARCELOCLETA 2014, SL",B66375437,1,605.0
"BARCELONA ALTERNATIVE MEDIA, S",B65564288,1,7804.5
"BARCELONA ANIMACIO, S.L.",B59747980,1,3872.0
BARCELONA ARCHITECTURE & ENGIN,B65885782,1,5687.0
BARCELONA CLASSIC CONCERT SL,B64911456,4,5106.5
BARCELONA DE SERVEIS MUNICIPAL,A08765919,2,3770.17
BARCELONA DISSENY URBANISTIC S,B67315986,2,33638.0
BARCELONA REG. AGE. METROP. DE,A60453271,1,14980.0
BARCELONA SMART TECHNOLOGIES S,B66849514,1,1022.45
BARCELONA STRUCTURAL AND CIVIL,J66371709,4,24703.699999999997
BARCELONA TRES-CENTS SEIXANTA,B66279852,1,4997.3
BARCHINONA.CAT SCP,J66375353,1,6050.0
BARCILLEURE SL,B66098401,4,816.0
BARCINO SOLUCIONS GRAFIQUES,B64059538,1,1089.0
"BARCONS, PONT I ASSOCIATS CONS",B64131683,1,3630.0
BARIMED FORMACION SL,B65011686,1,8320.0
BARNA IMPORT MEDICA SA,A58001686,4,22741.6
"BARNA PORTERS SEGURETAT, S.L.",B62735089,8,79287.09000000001
BARNA PORTERS SL,B61443628,9,58595.899999999994
BARNA VERD S COOP C LTDA,F08965550,1,47855.5
"BARNY ENGINYERIA, SL",B60995149,1,1936.0
"BARTER PARTNERSHIP, S.L.",B63814867,2,571274.0
"BASE ASSIST. I ASSESSOR,CONSUL",B63482400,4,181006.32
BASE TECHNOLOGY&INFORMATION,B65208183,3,34373.68
"BAYONA VALERO, ARQUITECTES ASS",B63381875,1,17847.5
BBVA BANCO BILBAO VIZCAYA ARGE,A48265169,6,945029.01
BCN PRINT HOUSE SL,B65937583,1,863.46
BCN URBAN FACILITIES SL,B65534844,9,116374.95000000001
"BCNSMART STUDIOS, S.L.",B66270174,3,257120.19
BDN ON LINE SA,A62492749,1,9196.0
"BE POINT INTERNATIONAL, S.L.",B64657083,1,56212.86
BECHTLE DIRECT S.L.,B83029439,3,10841.0
BENITO ARNÓ E HIJOS SA,A25006834,1,18916.75
BENITO URBAN S.L.,B59987529,1,2219.14
BE-PROM MARKETING PROMOCIONAL,B66145657,2,18129.07
"BERNADI, S.A.",A08449571,4,2595.4500000000003
"BERNUZ-FERNANDEZ ARQUITECTES,",B62131131,3,3025.0
BESTE TRAINERA BCN SL,B66080888,1,216.75
BETA WERKSTATT AGRUPACIO INTER,V66660390,1,36306.07
BETARQ GROUP S.L.P.,B64395684,2,9438.0
"BETTER CONSULTANTS, S.R.L.",B59150854,1,99792.51
BICICLOT SCCL,F60628187,2,1571.2
"BIGAS GRUP, S.L.U.",B61826392,1,47287.32
