nom_adjudicatari,nif,tipus_contractes,objecte,procediment,import_adjudicacio_net_sense_iva,import_adjudicacio_iva,nombre_contractes
AB-AUCATEL INSPECCION Y CONTRO,B63817191,Serveis,Certificació Tèccnica Conformitat Obres adeq. G.U.,Menor,1856.18,2245.98,1
ABECE D'IDEES SAL,A66829532,Serveis,FORMACIÓ VIOLÈNCIES MASCLISTE I PUNTS LILA,Menor,2400.0,2400.0,1
"ABOLAFIO CONSTRUCCIONS, S.L.",B62752316,Obres,Escola Vedruna Immaculada,Obert simplificat,36921.44,44674.94,1
ABYMATIC SISTEMAS S.L.,B83971614,Obres,Substitució sistema alarma contra incendis al PSJ,Menor,36654.89,44352.42,1
AC LEGAL ABOGADOS Y ASESORES L,B66385790,Serveis,Direcció lletrada assumpte 1 % massa salarial,Menor,3000.0,3630.0,1
ACCEM,G79963237,Serveis,Acolliment Lot 2 - Abril  - ACCEM,Basat en Acord Marc,5317.5,5317.5,1
ACCENT SOCIAL S.L.,B66808213,Serveis,ACTIVITATS PUNTUALS EN L'ÀMBIT DE TERRITORI,Menor A Genèrica,1376.0,1664.96,1
ACCES SERVEIS I CENTRE D'ESTUD,B61482618,Serveis,Disseny Social Roam. Connectivitat social,Menor,13837.5,16743.38,1
ACCÉS VERTICAL SL,B64037609,Subministraments,Subm i instal· de proteccions coberta Seu Disricte,Menor,5938.0,7184.98,1
ACCESIBILITAT GLOBAL INT.LLENG,B64756794,Serveis,Organització actes protocol.laris,Menor A Genèrica,327.1,359.81,2
ACCID - ASSOC CAT COMPT. I DIR,G63009120,Subministraments,Compra llibres Gerències i Districtes 2021,Menor A Genèrica,576.92,600.0,1
"ACCIONA FACILITY SERVICES, S.A",A08175994,Serveis,Neteja aules Universitat de Barcelona,Menor,9000.0,10890.0,1
ACEINSA MOVILIDAD S.A.,A84408954,Serveis,Actualització de l'INCA,Menor,12396.69,14999.99,1
ACELL,G08857542,Serveis,Formació física CEM Mundet per la GUB,Menor,1819.5,1819.5,1
ACENTO S.COOP.AND,F01763432,Serveis,Festes i actes puntuals i no recurrents DSPiT,Menor A Genèrica,1000.0,1210.0,1
ACM 2020 CONS. DIAGN. AMIANTO,B65157596,Serveis,PLA CONTROL AMB. PRESENCIA AMIANT ENTORNS ESCOLARS,Menor,14600.0,17666.0,1
ACRO DISTRIBUCIONES DEPORTIVAS,B67422931,Subministraments,Mobiliari Poliesportiu La Sagi,Menor,14900.6,18029.73,1
ACSA OBRAS E INFRAESTRUCTURAS,A08112716,Obres,Obres adequació entorns  escolars requeriments REP,Menor,33070.18,40014.92,1
"ACTION REALITY MANAGEMENT, S.L",B67021600,Obres,Obres de seguretat edifici U.T. Guàrdia Urb Gràcia,Menor,29941.14,36228.78,1
"ACTIU BERBEGAL Y FORMAS, SA",A03137874,Subministraments,Compra mobiliari edifici Vell,Basat en Acord Marc,9222.5,11159.23,1
"ACTIUM PATRIMONI CULTURAL, S.L",B63225098,Serveis,Recerca i avaluació d’establiments emblemàtics,Menor,12244.0,14815.24,1
ACTIVA AUDITORIA & CONSULTORIA,B64702665,Serveis,"Auditoria  ext. Final ""Civic eState URBACT III""",Menor,1100.0,1331.0,1
"ACTIVA CONGRESOS,S.L.",B62918610,Serveis,"Reunions, actes i conferències organitzades per EU",Menor A Genèrica,600.0,726.0,1
"ACTIVA HOSPITALET, SL",B63846448,Subministraments,Compra equipament No homologat,Menor A Genèrica,86.78,105.0,1
ACTIVA LA CULTURA & LA RESIDUA,B66899733,Serveis,"Educació ambiental, organització d'actes i activit",Menor A Genèrica,1900.0,2090.0,2
"ACTIVITATS CANINES, SL",B64379720,Serveis,AT Direcció Drets Animals Prog gestió alimentadors,Menor,14999.99,18149.99,1
"ACTURA 12, S.L.",B65758427,Serveis,ACTIVITATS CULTURALS CICLE DE CLÀSSICA,Menor A Genèrica,180.0,217.79999999999998,2
"ACUSTICA INTEGRAL, SL",B60991650,Serveis,Informe acústic ambiental Bibl Sant Antoni,Menor,1804.0,2182.84,1
AD + MEDICAL SCCL,F61853800,Subministraments,Nova consulta d’odontologia Torre Baró,Menor,14964.0,18106.44,1
ADAPTATIVE LEARNING SLU,B66458076,Serveis,Formació on-line i microlearning GUB i SPEIS,Menor,14850.0,17968.5,1
ADARO TECNOLOGIA SA,A33611195,Serveis,Reparacions (mant. correctiu) equips i eines SPEIS,Menor A Genèrica,2638.37,3192.43,3
"ADASA SISTEMAS, S.A.",A58596206,Subministraments,Subministrament de receptors de GPS per reposició,Menor,14767.35,17868.49,1
"ADCOGASE, SL",B66464918,Serveis,Assistència Tècnica Galeries 22@,Menor,4024.37,4869.49,1
ADO CERRAMIENTOS METALICOS SA,A58044652,Subministraments,H - SUBMINISTRAMENT DE FITONS,Menor,3012.5,3645.13,1
ADP GLOBAL MARKETING CONSULTIN,B66656141,Serveis,Desp. menor quantia actes puntuals no recurrents,Menor A Genèrica,2000.0,2420.0,1
"ADR-ODR GIRA, SLP",B66318411,Serveis,"Mediació conflicte entre veïns C/ Princesa, 55.",Menor,980.0,1185.8,1
ADTEL SISTEMAS DE TELECOMUNICA,B63181440,Serveis,Auditoria bases de ràdio de SCC,Menor,1502.0,1817.42,1
ADV INFORMATICA S.L.,B41975608,Subministraments,15 portàtils corporatius,Obert simplificat abreujat,14295.0,17296.95,1
ADVANCED PROGRAMMING SOLUTIONS,B57608960,Serveis,Redacció funcional aplicació mòbil IRIS,Menor,12087.0,14625.27,1
AE-BGC2005,B63728836,Serveis,Redacció avantprojecte 3 execucions subsidiàries,Menor,1935.0,2341.35,1
AECOM INOCSA SL,B82280785,Serveis,Estudi emplaçaments 3 centres assistència primària,Menor,14760.0,17859.6,1
AENOR INTERNACIONAL S.A.,A83076687,Privat d'Administració Pública,Subscripció base de dades AENOR de normes UNE,Menor,5060.0,5262.4,1
AERCO SA SUCURSAL EN ESPAÑA AL,U05478516,Serveis,Servei operadors control túnels,Obert,1007691.18,1219306.33,1
AERONAVAL CONSTRUCCIONES E INS,A28526275,Obres,OBRES SEMAFORITZACIÓ 2 EMPLAÇAMENTS DTE LES CORTS,Obert simplificat,68035.43,82322.87,1
AF STEELCASE SA,A78939576,Subministraments,Adquisició cadires ergonòmiques Agustí Centelles,Menor,2063.6,2496.96,1
AFI CONSULTORES ADMINIS.PUBLIC,A81062820,Privat d'Administració Pública,Subscripció base de dades ElSectorpúblico.es 2021,Menor,6000.0,7260.0,1
AGENCIA DE GESTI D'AJUTS UNIVE,Q0801117C,Serveis,Avaluació projectes de subv. de recerca i innovaci,Negociat sense publicitat,31575.0,38205.75,1
"AGENCIA EFE, S.A.",A28028744,Privat d'Administració Pública,Serveis Informatius Agència EFE 2022,Menor,63396.12,76709.31,1
AGENCIA POLFORD DE LOCUTORES S,B65687873,Serveis,Despeses de menor quantia relacionades amb producc,Menor A Genèrica,1800.0,2178.0,1
"AGILE INSTITUTE, S.L",B67518217,Serveis,Definició metodologies àgils i competències digita,Menor,14650.0,17726.5,1
AGORA GESTION DE EVENTOS SL,B64674187,Serveis,Som Persones,Menor,13500.0,16335.0,1
AGR SISTEMAS SL,B58081936,Subministraments,Subministrament fotocopiadora Centre Cívic,Menor,1436.5,1738.17,1
AGRICOLA MARCILLA SL,B58122151,Serveis,Atencions Protocol·làries de Direcció de Protocol,Menor A Genèrica,2747.2800000000007,3030.4799999999996,6
AGRUP.SARDANIST.LA IDEAL D'EN,G58038167,Privat d'Administració Pública,CICLE DE MÚSICA DE BANDA A NOU BARRIS,Menor,14999.0,14999.0,1
AGRUPACIO ATLETICA CATALUNYA,G58370636,Serveis,ACTIVITATS FOMENT PRÀCTICA ESPORTIVA,Menor A Genèrica,1027.0,1027.0,1
AGRUPACIO FOTOGRAFICA DE CATAL,G58329152,Serveis,DRETS DE REPRODUCCIÓ DE FOTOGRAFIES,Menor,411.21,497.56,1
AGUAPURA AGUAVIVA SL,B81804643,Subministraments,Adquisició de altre material de consum,Menor A Genèrica,438.0,529.98,2
AGUIRRE NEWMAN VALOR Y TASAC S,A86317567,Serveis,Serveis aux. vinculats a activ. puntuals Districte,Menor A Genèrica,500.0,605.0,1
AGUSTí I MASOLIVER SA,A17000993,Obres,Obres pavimentació calçada carrer Verntallat,Menor,12770.41,15452.2,1
AIGUA ESPORTS I SALUT S.L.,B62849674,Serveis,Formació física GUB Piscines Picornell,Menor,11447.86,13851.91,1
"AIGÜES DE BARCELONA, EMPRESA M",A66098435,Serveis,Manteniment dipòsit d'aigües al carrer Nebuloses,Menor,3255.9,3939.64,1
AIR GOLDEN EVENTS SL,B66921891,Obres,MILLORA VORERA ACCÉS CEM ST ANDREU,Menor,28319.53,34266.63,1
AIR LIQUIDE HEALTHCARE ESPAÑA,B84745801,Subministraments,medicaments i zoosanitaris pel CAACB,Menor A Genèrica,951.53,1100.69,3
"AIRBOX, S.A.",A08950685,Subministraments,Subm. material de vesturari i EPI per a l'SPEIS,Menor A Genèrica,546.92,661.77,1
AIRENGINY URC SL,B63766745,Serveis,"Revisió projectes i D.O. A. Turull, Cardener i seu",Menor,5280.0,6388.8,1
AIRUN SERVEIS CULTURALS SL,B61519344,Serveis,"“Ajuntament, organització promotora de la Salut”",Obert,25137.36,30416.21,1
AJN PROJECTS ACCOUNTS SL,B25462375,Serveis,Estudi viabilitat lavabos transparents Dte01,Menor,1980.0,2395.8,1
AKTES SERVEIS INTEGRALS SL,B65829335,Serveis,Producció de l’acte institucional del 25 novembre,Menor,1213.9,1468.82,1
ALAVA INGENIEROS S.A.,A28570190,Serveis,Manteniment i Reparació d'equips,Menor A Genèrica,1822.0,2204.62,1
"ALAVA INGENIEROS TELECOM, SL",B80070113,Serveis,Servei supervisió i garantia sist. NICE i SENTINEL,Menor,9043.75,10942.94,1
ALBET COMERCIAL SLU,B67402636,Subministraments,medicaments i zoosanitaris pel CAACB,Menor A Genèrica,14290.550000000001,15351.890000000001,9
ALBUR PRODUCCIONES EDITORIALES,B62811534,Serveis,Redacció d’articles Col•lecció Barcelona Present,Menor A Genèrica,2079.0,2515.59,1
ALD AUTOMOTIVE SA,A80292667,Subministraments,Arrendament vehicles Gerència de Recursos,Obert,556585.92,673468.96,1
ALDEBARAN 2.0 IT PROJECTS$SERV,B65322869,Subministraments,Adquisició i implantació mòdul Karta Routing Afect,Negociat sense publicitat,18253.95,22087.28,1
"ALERTA GLOBAL SEGURIDAD, SL",B64624711,Serveis,"Dones, organització d'actes i activitats",Menor A Genèrica,1850.0,2238.5,1
ALGECO CONSTRUCCIONES MODULARE,B28871192,Obres,Centre d’Atenció Nocturna i Diürna d’Emergències,Obert,2164854.68,2619474.16,1
ALGORITMOS PROCESOS Y DISEÑOS,A28634046,Serveis,Trasllat equips matriu CGE,Menor,5692.0,6887.32,1
ALIANCE BROTHER SL,B58296955,Serveis,Servei de mudances Ecologia Urbana,Menor,14606.06,17673.33,1
ALIANZAS Y SUBCONTRATAS S.A.,A61351276,Serveis,ACTIVITATS PUNTUALS ALS CENTRES CÍVICS NB,Menor A Genèrica,412.92,499.63,1
ALIBRI LIBRERIA SL,B61688578,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,320.24,333.05,1
ALMAS INDUSTRIES BSAFE,B86479078,Serveis,Comprovació i supervisió desfibril·ladors GSiP,Menor,4720.0,5711.2,1
ALPHABET ESPAÑA FLEET MANAGEME,A91001438,Subministraments,lloger furgoneta per a l'Ofic. de Collserola,Menor,3600.0,4356.0,1
ALPINISTA SAMURAI SL,B65698912,Serveis,"Coordinació, creació i gestió de continguts i mant",Obert,23760.0,28749.6,1
ALSEAL SERVEIS INFORMÀTICS S.L,B62945480,Serveis,Assistència tècnica-manteniment d’equipament infor,Menor,4900.0,5929.0,1
"ALTABOX, SL",B33898867,Serveis,Manteniment i reparacions Eixample,Menor A Genèrica,720.0,871.2,1
ALTERNATIVAS ECONOMICAS SCCL,F65890832,Privat d'Administració Pública,Subscripcions revistes corporatives (2) 2021,Menor A Genèrica,432.69,450.0,1
ALTIPLA GEOMATICA I TOPOGRAFIA,B67506188,Serveis,Redacció topogràfic Baró Barre - pg. Mare Déu Coll,Menor,470.0,568.7,1
"ALTUS YUMA, SL",B99536641,Subministraments,Subm. motxilles per a equips UREP,Obert simplificat,30000.0,36300.0,1
"ALUMBRADOS VIARIOS, SA",A08523094,Serveis,AT Aforament de Trànsit,Menor,11932.0,14437.72,1
"ALZAMORA, C.F.",G58804311,Serveis,ACTIVITATS PUNTUALS EN L'ÀMBIT DE TERRITORI,Menor A Genèrica,1507.67,1507.67,1
AMBIT GRUP SERVEIS TECNICS SL,B67566687,Serveis,"Revisió proj. i DO Nou Sardenya,Creueta i Comellas",Menor,12064.63,14598.2,1
"AMBITEC SERVICIOS AMBIENTALES,",A65208084,Obres,FF - Adeq solar horts comunitaris Pg. Font Fargas,Menor,39921.82,48305.4,1
"AMBULANCIES CATALUNYA, SCCL",F08726978,Serveis,Servei ambulàncies esdeveniments,Menor,4500.0,4500.0,1
AMBUMEDIC SERVICE,B65348906,Serveis,Despeses de menor quantia Comunicació,Menor A Genèrica,711.0,711.0,1
AMICS DE GRACIA TELEVISIO,G59648048,Serveis,Compra de serveis i actes culturals,Menor A Genèrica,1240.0,1500.4,1
AMPA CEIP BARRUFET,G58105859,Serveis,Dinamització activitats infantils barri Sants,Menor,4995.0,4995.0,1
"AMPERSAND SET, S.L.",B66339771,Serveis,Dinamització Espai Estratègic Coresponsabilitat,Menor,2350.0,2843.5,1
AMTEVO MEDIO AMBIENTE SL,B62604806,Subministraments,Subministrament ampolletes aigua rentat orins,Menor,4921.0,5954.41,1
ANABAD,G28639326,Privat d'Administració Pública,Subscripcions revistes corporatives (2) 2021,Menor A Genèrica,97.0,100.88,1
ANALISTAS FINANCIEROS INTERNAC,A78603206,Privat d'Administració Pública,Subscripció base de dades ElSectorPublico.es 2022,Menor,6000.0,7260.0,1
ANBA ASISTENCIAL SLU,B67458224,Serveis,Serveis de neteja i desinfecció especial per COVID,Tramitació d'Emergència (art. 120 LCSP),4740.0,4929.6,1
ANGEL GABARDOS GALINDO SUCESOR,B50666437,Subministraments,Submin. gorres representació i cascos gala GUB,Menor,9000.0,10890.0,1
"ANIMALIA BCN, SL",B63549398,Serveis,Serveis d'allotjaments urgents,Menor A Genèrica,3320.89,4018.2799999999997,2
ANIMUA SA,A08520876,Serveis,Atencions protocol•làries per la Gerència Recursos,Menor A Genèrica,264.73,291.2,2
ANNUNZIA PUBLICIDAD EXTERIOR S,B55648497,Serveis,Estimació aforament platges amb drons,Menor,14850.0,17968.5,1
"ANSA CATERING I BANQUETS, SL",B63922744,Serveis,Organització actes i reunions OMD,Menor A Genèrica,314.0,367.4,1
ANTALIS IBERIA SA,A78456506,Subministraments,2021/22 Lot1 Paper raïma reciclat Ecologia Urbana,Basat en Acord Marc,6611.57,8000.0,1
"ANTEVERTI CONSULTING, S.L.",B65457806,Serveis,Assessorament Smart City Expo World Congress 2021,Menor,14875.0,17998.75,1
"ANTIGUA CASA MANUEL ESTALELLA,",B08958209,Serveis,ACTIVITATS PUNTUALS DE SUPORT A DSPiT,Menor A Genèrica,247.27,299.2,1
ANVIGRAF PRINT S.L.,B66313362,Serveis,Manteniment i reparació altres béns singulars,Menor A Genèrica,4474.289999999999,5413.89,8
API MOVILIDAD SA,A78015880,Serveis,Subministrament de senyals,Obert simplificat abreujat,16950.0,20509.51,1
APLICACIONES INDUSTRIALES DEL,B60738515,Serveis,Servei de reparacions i revisions equips i inst.,Menor A Genèrica,769.7,931.34,1
APLICACIONS MULTIMEDIA INTERAC,B61077020,Serveis,Servei de manteniment patalla exterior Seu,Menor,1943.27,2351.36,1
"APPLUS ITEUVE TECHNOLOGY,S.L.",B81041444,Serveis,Inspeccions tècniques de vehicles de la GUB,Menor,6611.57,8000.0,1
APPLYSAP4 S.L.,B66619388,Serveis,Comptabilització integrada de factures,Menor,14800.0,17908.0,1
APRENEM ASSOCIACIO PER A LA IN,G64177421,Serveis,Realització guia de recursos i prestacions,Menor,4000.0,4000.0,1
APRISE-CATALUNYA EMPRESA D'INS,B64241946,Obres,ADEQUACIO AMB LLOSA FORMIGO BARBACOES PARC TRINITA,Menor,5890.5,7127.51,1
AQ:SC,E16985277,Serveis,COMPETITIVITAT ASSOCIACIÓ COMERCIAL ROQUETES,Menor,14660.0,17738.6,1
AQMM AFRA QUINTANAS I MARC MON,U42933424,Serveis,Serveis implementació pla dinamització Paral·lel,Obert,57398.0,69451.58,1
AQUADIRECT BLUE PLANET SL,B62117783,Subministraments,Dispensador d'aigua Sindicatura de Greuges,Basat en Acord Marc,164.45,198.98,1
AQUIDOS ARQUIT. TÈC. I GESTIÓ,B65000648,Serveis,Estratègia de regeneració urbana velòdrom d’horta,Menor,14680.0,17762.8,1
ARA VINC GESTIO DOCUMENTAL SL,B67110767,Serveis,Servei revisió sèries AMCB per eliminar,Menor,6000.0,7260.0,1
"ARC MEDIACION AMBIENTAL, SC",J22283543,Serveis,Procés participatiu revisió Pla BCN Ciència,Basat en Acord Marc,6254.4,7567.82,1
ARCAEDRO 2014 SL,B66232331,Serveis,Compra de serveis i actes culturals,Menor A Genèrica,3300.0,3993.0,2
ARCANTIC REHABILITACIO CONSTRU,B64220148,Obres,M - Obres ref coberta vestidors pista pol. Montbau,Menor,17986.79,21764.02,1
"ARCHIKUBIK, SLP",B62434105,Serveis,Des.conceptual directius centre exposicions arquit,Menor,14900.0,18029.0,1
ARCILLAS MINERALES Y SUMINISTR,B73754095,Subministraments,Subministrament sepiolita per a l'SPEIS,Menor,3168.0,3833.28,1
ARCOIRIS LIGHTING SYSTEMS S.A.,A08983165,Serveis,Il•luminació del camp de futbol Nou Sardenya,Menor,6020.4,7284.68,1
ARDANA CONSULTANTS S.L.U. & CO,U16917742,Serveis,Assistència tècnica presentacions Nova Contracta,Obert simplificat abreujat,34000.0,41140.0,1
AREA CIVITAS ARQUITECTURA E IN,B66837741,Serveis,DF I CSS SENYALITZACIO VELOCITAT BUS,Menor,13874.13,16787.7,1
ARENY SANUY CONSULTORIA I INFO,B60409612,Serveis,"Serveis desenvolupament,actualització BBDD 0604",Menor,1217.7,1473.42,1
ARETIAN URBAN ANALYTICS AND DE,83-1302874,Serveis,Redacció del Matersplan del Besòs a Barcelona,Negociat sense publicitat,150000.0,181500.0,1
"ARGELAGA SERVEIS AMBIENTALS, S",B62144878,Serveis,ACTIVITATS DE NADAL,Menor A Genèrica,3876.03,4689.99,2
ARGELICH IGLESIAS SL,B63029326,Serveis,Redacc. Proj. Executiu eix transversal Raval CV,Menor,4800.0,5808.0,1
ARGES FITNESS S.L,B64538739,Serveis,Visites comprovació fungibles gimnasos GUB i SPEIS,Menor,8272.0,10009.12,1
"ARIBAU 70, SL",B63472872,Serveis,Legalització inst contra incendis edificis públics,Menor,13806.2,16705.5,1
ARMENGOL&ROS CONSULTORS I ASSO,B65976763,Serveis,Assessorament preparac licitació manteniment Canòd,Menor,4950.0,5989.5,1
ARMERIA RAVELL S.L.,B08073264,Serveis,Serv.Rep.Mat. i revisions i informes oficials GSP,Menor A Genèrica,757.17,916.1800000000001,8
"ARNIA SERVEIS TECNICS,  SL",B55679278,Serveis,Servei de Recollida i reubicació d’eixams d’abella,Obert,36500.0,44165.0,1
ARQ PSG10 SL,B66213869,Serveis, DF Obres 3 mòduls prefabricats CEM Fort Pienc,Menor,2114.63,2558.7,1
ARQUEOLOGIA DEL PUNT DE VISTA,G64810492,Serveis,Taller Arxius Familiars AMDSG,Menor,12314.05,14900.0,1
ARQUITASA SOCIEDAD DE TASACION,A59307777,Serveis,Servei valoració preu de Mercat Locals,Menor,1732.23,2096.0,2
ARQUITECTURA DEL PAISATGE SL,B55218754,Serveis,Avantprojecte de connexió pg. Turull i Repartidor,Menor,3900.0,4719.0,1
ARQUITECTURA GENIS PLANELLES S,B64782105,Serveis,Coord. Seg. Salut actuacions urg. Arc maquinista,Menor,1000.0,1210.0,1
ARQUITECTURA PROJECTES I GESTI,B66416694,Serveis,Reunions i conferències organitzades per EU,Menor A Genèrica,150.0,181.5,1
ARRIOLA & FIOL ARQUITECTES SCP,J58516873,Serveis,RED PROJECTE REMODELACIO CLAUSTRE SEU DTE 9BARRIS,Menor,14999.0,18148.79,1
"ART I SO 4 GATS, SL",B94180965,Serveis,"Dones, organització d'actes i activitats",Menor A Genèrica,450.0,544.5,1
ARTCOM,G01961390,Serveis,Programa visualització diversitat cultural comerç,Menor,4958.68,6000.0,1
ARTEGESA NEGOCIOS INTEGRADOS S,B62728688,Serveis,Atencions Protocol·làries de Direcció de Protocol,Menor A Genèrica,805.0,974.05,1
"ARTEPA, S.L.",B08737744,Serveis,Atencions Protocol·làries de Direcció de Protocol,Menor A Genèrica,234.3,257.74,2
ARTERO INSPIRING STYLE S.A.,A58778176,Subministraments,Submin. mat ensinistrament gossos U Canina GUB,Menor A Genèrica,289.93,350.82,1
ARTES GRAFICAS AUXILIARES DEL,B08923542,Serveis,Compra de serveis i actes culturals,Menor A Genèrica,55.74,67.45,1
ARTI GESTION Y SERVICIOS ARTIS,B66372467,Serveis,"La Sedeta, organització d'actes i activitats",Menor A Genèrica,175.0,211.75,1
ARTICAT ARTISTAS Y PROF. ARTES,F55660609,Serveis,ACTIVITATS CULTURALS CICLE DE CLÀSSICA,Menor A Genèrica,300.0,363.0,1
ARTIDI ESCAPARATISMO SL,B63391973,Serveis,DECORACIÓ NADAL AL COMERÇ,Menor,5206.61,6300.0,1
"ARTISTAMENTE, SOCIEDAD LIMITAD",B67515817,Serveis,Dansa inclusiva Festa Major les Corts 2021,Menor,400.0,484.0,1
ARTISTIC LITHO SL,B58476920,Subministraments,Subm carpetes per documents de gran format,Menor,4723.0,5714.83,1
ARTIXOC,G62003603,Serveis,Dinamització Campament Reial 2021,Menor,5963.0,5963.0,1
ARTRUIX CORPORACIÓ S.L.,B66772518,Serveis,Disseny Estratègia municipal d’innovació social,Menor,14950.0,18089.5,1
ARTTEC CONSERVACIO I RESTAURAC,B63075261,Serveis,Manteniment d’elements singulars de rellotgeria,Menor A Genèrica,14997.8,18147.339999999997,6
ARTU IDEAS DIGITALES,B67032474,Serveis,Compra de serveis i actes culturals,Menor A Genèrica,800.0,968.0,1
ARTYPLAN SL,B61963229,Serveis,Despeses actes puntuals i no recurrents,Menor A Genèrica,176.95999999999998,214.12,2
ARXIVERS SENSE FRONTERES,G61898755,Privat d'Administració Pública,Subscripcions revistes Gerències i Districtes 2021,Menor A Genèrica,120.0,120.0,1
AS AMERICA-EUROPA DE REGIONES,G63853287,Serveis,Elaboració d'una proposta de recursos formatius,Menor,14700.0,17787.0,1
AS. APAECATALUNYA (PR ANIMAL.,G65188872,Serveis,gestio incidencies animals no companyia,Obert,80000.0,96800.0,1
AS.DISCAP.VISUAL CATALUNYA B1+,G60412251,Serveis,Formació accessibilitat 2021,Menor,1000.0,1000.0,1
AS.PROMOT.SERV.ESPEC.ATENC.TER,G08692410,Serveis,ACTIVITATS PUNTUALS EN L'ÀMBIT EDUCATIU,Menor A Genèrica,600.0,726.0,1
ASBESTHO'S GESTION DESAMIANTAD,B64172794,Obres,G - Retirada fragments fibrocimentTuró Rovira,Menor,4031.25,4877.81,1
"ASCENSORES ERSCE, S.A.",A08277907,Serveis,Substituació quadre maniobra i polsadors Arx Mun,Menor,2561.98,3100.0,1
ASESORES CORPORATIVOS IT'S POS,B63758163,Subministraments,Adquisició mascaretes FFP2 negres GUB,Menor,14999.99,14999.99,1
ASESORES CORPORATIVOS SA,A60045937,Serveis,Focus grup anàlisi eix assetjament sexual,Menor,2487.5,3009.88,1
"ASFALTOS BARCINO, S.L.",B66533456,Obres,"OBRES ADEQUACIO APARCAMENT DE C. FELIPE DE PAZ, 20",Menor,34200.0,41382.0,1
ASFALTOS DEL VALLES S.A,A60930344,Obres,OBRES PERLLONGAR C. PANAMÀ FINS AV. MARE DEU LORDA,Menor,32672.09,39533.23,1
ASFALTOS Y CONSTRUCCIONES ELSA,A81940371,Obres,"Obres pavimentació c/Verdi, entre Providència i Or",Menor,30642.08,37076.92,1
ASIDEK-ASES.SIST.E INTEGRADORE,B61117099,Serveis,LLICÈNCIES AUTODESK DISTRICTE DE NOU BARRIS,Menor,2355.0,2849.55,1
"ASM WEB SERVICES, SL",B63380091,Serveis,Unitats familiars,Menor,14230.1,17218.42,1
ASO ESPAÑOLA CONTABILIDAD ADMO,G28729218,Privat d'Administració Pública,Subscripció base de dades AECA 2021,Menor,450.0,450.0,1
ASOC ABONO KMO,G01632991,Serveis,"Educació ambiental, organització d'actes i activit",Menor A Genèrica,1100.0,1331.0,2
ASOC CULTURAL HAND MADE THEATR,G66217787,Serveis,"Educació ambiental, organització d'actes i activit",Menor A Genèrica,490.0,592.9,1
ASOC CULTURAL LA MERI PRODUCTI,G67180877,Serveis,ACTIVITATS PUNTUALS A LA ZONA NORD,Menor A Genèrica,792.0,958.32,1
